,Country Name,City Name,Latitude,Longitude,Temperature(F),Humidity(%),Wind Speed,Cloudiness,Date
0,ZA,east london,-33.02,27.91,71.6,78,9.17,75,1581445498
1,US,fairbanks,64.84,-147.72,-15.0,97,3.36,75,1581445148
2,RU,tiksi,71.69,128.87,-28.41,92,3.76,11,1581445365
3,NZ,tuatapere,-46.13,167.68,53.01,94,1.01,100,1581445214
4,NZ,kaitangata,-46.28,169.85,54.0,91,2.28,72,1581445392
5,CL,punta arenas,-53.15,-70.92,57.2,82,3.36,40,1581445445
6,AU,mount gambier,-37.83,140.77,60.8,93,14.99,90,1581445500
7,RU,tupik,54.43,119.93,4.66,96,4.61,100,1581445583
8,AR,ushuaia,-54.8,-68.3,60.8,51,17.22,40,1581445459
9,NU,alofi,-19.06,-169.92,77.0,94,6.93,98,1581445457
10,ZA,cape town,-33.93,18.42,77.0,77,14.99,0,1581445201
11,LK,hambantota,6.12,81.12,80.02,79,25.39,0,1581445244
12,PF,rikitea,-23.12,-134.97,79.14,79,19.24,2,1581445358
13,RU,onega,63.91,38.14,35.13,85,16.08,100,1581445584
14,PF,atuona,-9.8,-139.03,80.65,78,18.12,4,1581445361
15,NZ,bluff,-46.6,168.33,53.01,94,1.01,100,1581445207
16,BR,itacoatiara,-3.14,-58.44,77.0,100,3.36,75,1581445585
17,ZA,saldanha,-33.01,17.94,73.92,56,10.65,0,1581445223
18,BW,maun,-19.98,23.42,80.6,69,2.24,40,1581445585
19,PE,coracora,-15.03,-73.78,59.16,69,12.03,100,1581445585
20,CN,laiyang,36.98,120.71,46.99,85,3.8,93,1581445517
21,RU,khatanga,71.97,102.5,-30.14,96,2.62,0,1581445445
22,CD,luebo,-5.35,21.42,78.64,70,2.55,79,1581445585
23,CA,foam lake,51.65,-103.53,21.25,89,12.19,100,1581445585
24,AU,new norfolk,-42.78,147.06,62.01,100,10.29,90,1581445233
25,MY,georgetown,5.41,100.34,80.6,83,6.93,20,1581445077
26,AU,victor harbor,-35.57,138.62,66.2,72,9.17,75,1581445586
27,ET,asosa,10.07,34.53,67.84,30,5.7,45,1581445586
28,US,kapaa,22.08,-159.32,69.8,73,14.99,20,1581445475
29,CN,chifeng,42.27,118.96,28.89,57,6.2,22,1581445464
30,NZ,mataura,-46.19,168.86,53.01,94,1.01,94,1581445198
31,BR,cidreira,-30.18,-50.21,73.45,70,18.01,42,1581445228
32,EC,puerto ayora,-0.74,-90.35,86.0,66,18.34,20,1581445462
33,TO,vaini,-21.2,-175.2,78.8,88,4.7,75,1581445355
34,AU,busselton,-33.65,115.33,72.0,44,11.88,21,1581445199
35,MX,tecoanapa,16.52,-98.75,101.93,18,3.4,0,1581445587
36,US,nome,64.5,-165.41,-5.8,63,9.17,90,1581445508
37,AU,flinders,-34.58,150.86,73.0,100,8.05,90,1581445487
38,US,greenville,35.61,-77.37,75.99,69,20.8,40,1581445500
